subscribers,SUBSCRIPTION_DATE,NB_SUBSCRIPTION,USAGE_DATE,usage_Type,Destination,Amount_DZD,Amount_data_DZD,Volume_Data_KB,Volume_KB_SC_Nbr,Nb_USAGE
7512,2023-01-22,1,2023-01-31,DATA,DATA,0.0,0.0,17727046.82,17727046.82,593
7512,2023-01-22,1,2023-01-31,VOICE,OFF-NET,224.55,0.0,0.0,20250.0,163
7513,2023-01-18,1,2023-01-31,DATA,DATA,0.0,0.0,19640887.61,19640887.61,981
7513,2023-01-18,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,18090.0,71
7513,2023-01-18,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,6690.0,24
7517,2023-01-27,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,83820.0,211
7517,2023-01-27,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,7050.0,32
7520,2023-01-28,1,2023-01-31,SMS,ON-NET,14.97,0.0,0.0,124.0,124
7520,2023-01-28,1,2023-01-31,DATA,DATA,0.0,0.0,6461643.04,6461643.04,258
7520,2023-01-28,1,2023-01-31,VOICE,Others,0.0,0.0,0.0,0.0,3
7520,2023-01-28,1,2023-01-31,VOICE,OFF-NET,9.98,0.0,0.0,1980.0,17
7520,2023-01-28,1,2023-01-31,VAS,Others,22.0,0.0,0.0,1.0,1
7520,2023-01-28,1,2023-01-31,VOICE,Internationnal,0.0,0.0,0.0,240.0,3
7520,2023-01-28,1,2023-01-31,SMS,OFF-NET,0.0,0.0,0.0,1.0,1
7520,2023-01-28,1,2023-01-31,VOICE,ON-NET,24.95,0.0,0.0,26910.0,151
7521,2022-09-30,1,2022-10-31,SMS,OFF-NET,0.0,0.0,0.0,1.0,1
7521,2022-09-30,1,2022-10-31,VOICE,ON-NET,0.0,0.0,0.0,330.0,5
7521,2022-09-30,1,2022-10-31,SMS,ON-NET,0.0,0.0,0.0,2.0,2
7521,2022-09-30,1,2022-10-31,DATA,DATA,0.0,0.0,1887222.19,1887222.19,48
7521,2022-09-30,1,2022-10-31,VOICE,OFF-NET,0.0,0.0,0.0,4350.0,47
7521,2022-09-30,1,2022-11-30,DATA,DATA,0.0,0.0,366280.43,366280.43,13
7521,2022-09-30,1,2022-11-30,VOICE,OFF-NET,9.98,0.0,0.0,60.0,1
7529,2023-01-29,1,2023-01-31,SMS,OFF-NET,0.0,0.0,0.0,4.0,4
7529,2023-01-29,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,7140.0,90
7529,2023-01-29,1,2023-01-31,VOICE,FIX,0.0,0.0,0.0,30.0,1
7529,2023-01-29,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,2.0,2
7529,2023-01-29,1,2023-01-31,DATA,DATA,0.0,0.0,6964230.8,6964230.8,568
7529,2023-01-29,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,2790.0,32
7529,2023-01-29,1,2023-01-31,VOICE,Internationnal,0.0,0.0,0.0,120.0,2
7532,2022-11-03,1,2022-11-30,VOICE,OFF-NET,0.0,0.0,0.0,2790.0,13
7532,2022-11-03,1,2022-11-30,VOICE,ON-NET,44.91,0.0,0.0,2850.0,39
7532,2022-11-03,1,2022-11-30,SMS,ON-NET,2.0,0.0,0.0,57.0,57
7532,2022-11-03,1,2022-11-30,DATA,DATA,0.0,0.0,13397940.23,13397940.23,698
7532,2022-11-03,1,2022-12-31,VOICE,OFF-NET,0.0,0.0,0.0,390.0,2
7532,2022-11-03,1,2022-12-31,VOICE,Others,0.0,0.0,0.0,120.0,1
7532,2022-11-03,1,2022-12-31,SMS,ON-NET,4.0,0.0,0.0,53.0,53
7532,2022-11-03,1,2022-12-31,VOICE,ON-NET,0.0,0.0,0.0,420.0,7
7532,2022-11-03,1,2022-12-31,DATA,DATA,0.0,0.0,7015591.35,7015591.35,537
7532,2022-11-03,1,2023-01-31,VAS,Others,22.0,0.0,0.0,1.0,1
7532,2022-11-03,1,2023-01-31,DATA,DATA,0.0,0.0,6695029.11,6695029.11,526
7534,2023-01-13,1,2023-01-31,DATA,DATA,0.0,0.0,31202580.72,31202580.72,1408
7534,2023-01-13,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,14610.0,144
7534,2023-01-13,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,3.0,3
7534,2023-01-13,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,23850.0,117
7535,2023-01-03,1,2023-01-31,VOICE,Others,0.0,0.0,0.0,120.0,2
7535,2023-01-03,1,2023-01-31,DATA,DATA,0.0,0.0,8683693.39,8683693.39,604
7535,2023-01-03,1,2023-01-31,VAS,Others,22.0,0.0,0.0,1.0,1
7535,2023-01-03,1,2023-01-31,VOICE,OFF-NET,518.96,0.0,0.0,9990.0,65
7535,2023-01-03,1,2023-01-31,VOICE,ON-NET,44.91,0.0,0.0,62340.0,321
7535,2023-01-03,1,2023-01-31,SMS,OFF-NET,4.99,0.0,0.0,4.0,4
7535,2023-01-03,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,5.0,5
7535,2023-01-03,1,2023-01-31,VOICE,FIX,49.9,0.0,0.0,2430.0,18
7539,2022-08-20,1,2022-08-31,DATA,DATA,0.0,0.0,3017171.96,3017171.96,137
7539,2022-08-20,1,2022-08-31,SMS,ON-NET,4.99,0.0,0.0,1.0,1
7539,2022-08-20,1,2022-08-31,SMS,OFF-NET,0.0,0.0,0.0,1.0,1
7539,2022-08-20,1,2022-08-31,VOICE,ON-NET,219.56,0.0,0.0,3540.0,64
7539,2022-08-20,1,2022-08-31,VOICE,OFF-NET,74.85,0.0,0.0,2550.0,32
7539,2022-08-20,1,2022-09-30,VOICE,OFF-NET,154.69,0.0,0.0,6270.0,84
7539,2022-08-20,1,2022-09-30,DATA,DATA,0.0,0.0,16486996.7,16486996.7,508
7539,2022-08-20,1,2022-09-30,VOICE,ON-NET,319.75,0.0,0.0,9090.0,107
7539,2022-08-20,1,2022-10-31,VOICE,OFF-NET,184.63,0.0,0.0,5400.0,57
7539,2022-08-20,1,2022-10-31,DATA,DATA,0.0,0.0,4708077.6,4708077.6,260
7539,2022-08-20,1,2022-10-31,VOICE,ON-NET,149.7,0.0,0.0,4230.0,79
7539,2022-08-20,1,2022-11-30,DATA,DATA,0.0,0.0,4539098.77,4539098.77,269
7539,2022-08-20,1,2022-11-30,VOICE,ON-NET,234.53,0.0,0.0,4620.0,75
7539,2022-08-20,1,2022-11-30,VOICE,OFF-NET,294.41,0.0,0.0,3450.0,61
7539,2022-08-20,1,2022-12-31,DATA,DATA,0.0,0.0,14816717.81,14816717.81,335
7539,2022-08-20,1,2022-12-31,VOICE,ON-NET,69.86,0.0,0.0,7920.0,119
7539,2022-08-20,1,2022-12-31,VOICE,OFF-NET,94.81,0.0,0.0,4830.0,63
7539,2022-08-20,1,2023-01-31,VOICE,OFF-NET,94.81,0.0,0.0,7350.0,93
7539,2022-08-20,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,1.0,1
7539,2022-08-20,1,2023-01-31,VOICE,ON-NET,64.87,0.0,0.0,8700.0,110
7539,2022-08-20,1,2023-01-31,DATA,DATA,0.0,0.0,21093188.43,21093188.43,502
7540,2023-01-28,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,3.0,3
7540,2023-01-28,1,2023-01-31,DATA,DATA,0.0,0.0,4081990.31,4081990.31,328
7540,2023-01-28,1,2023-01-31,SMS,Others,0.0,0.0,0.0,602.0,602
7540,2023-01-28,1,2023-01-31,SMS,OFF-NET,0.0,0.0,0.0,4.0,4
7540,2023-01-28,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,6150.0,74
7540,2023-01-28,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,60690.0,618
7541,2023-01-12,1,2023-01-31,DATA,DATA,0.0,0.0,48669048.59,48669048.59,796
7541,2023-01-12,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,103.0,103
7541,2023-01-12,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,2670.0,12
7541,2023-01-12,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,104820.0,219
7541,2023-01-12,1,2023-01-31,VOICE,Internationnal,0.0,0.0,0.0,60.0,2
7541,2023-01-12,1,2023-01-31,SMS,OFF-NET,0.0,0.0,0.0,17.0,17
7543,2023-01-20,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,2.0,2
7543,2023-01-20,1,2023-01-31,VOICE,ON-NET,44.91,0.0,0.0,212760.0,1431
7543,2023-01-20,1,2023-01-31,VOICE,FIX,0.0,0.0,0.0,270.0,5
7543,2023-01-20,1,2023-01-31,DATA,DATA,0.0,0.0,5309450.86,5309450.86,92
7543,2023-01-20,1,2023-01-31,SMS,Others,50.0,0.0,0.0,57.0,57
7543,2023-01-20,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,3480.0,25
7544,2022-11-25,1,2022-11-30,DATA,DATA,0.0,0.0,830473.57,830473.57,131
7544,2022-11-25,1,2022-11-30,VOICE,ON-NET,34.93,0.0,0.0,210.0,2
7544,2022-11-25,1,2022-12-31,DATA,DATA,0.0,0.0,33039.37,33039.37,8
7544,2022-11-25,1,2022-12-31,VOICE,ON-NET,84.83,0.0,0.0,510.0,5
7545,2023-01-21,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,43860.0,207
7545,2023-01-21,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,8.0,8
7545,2023-01-21,1,2023-01-31,DATA,DATA,0.0,0.0,17702767.61,17702767.61,1171
7545,2023-01-21,1,2023-01-31,SMS,Others,0.0,0.0,0.0,276.0,276
7545,2023-01-21,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,7230.0,24
7546,2023-01-15,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,14820.0,170
7546,2023-01-15,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,15.0,15
7546,2023-01-15,1,2023-01-31,DATA,DATA,0.0,0.0,41414873.63,41414873.63,1071
7546,2023-01-15,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,12870.0,198
7546,2023-01-15,1,2023-01-31,SMS,OFF-NET,0.0,0.0,0.0,2.0,2
7546,2023-01-15,1,2023-01-31,SMS,Internationnal,0.0,0.0,0.0,3.0,3
7549,2023-01-05,1,2023-01-31,DATA,DATA,0.0,0.0,51333433.94,51333433.94,739
7549,2023-01-05,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,1020.0,18
7549,2023-01-05,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,1.0,1
7549,2023-01-05,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,12900.0,49
7550,2023-01-18,1,2023-01-31,VOICE,FIX,0.0,0.0,0.0,600.0,12
7550,2023-01-18,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,4.0,4
7550,2023-01-18,1,2023-01-31,VOICE,OFF-NET,119.76,0.0,0.0,7320.0,89
7550,2023-01-18,1,2023-01-31,DATA,DATA,0.0,0.0,7469224.94,7469224.94,491
7550,2023-01-18,1,2023-01-31,SMS,Others,150.0,0.0,0.0,30.0,30
7550,2023-01-18,1,2023-01-31,VOICE,ON-NET,239.52,0.0,0.0,18600.0,268
7552,2022-10-30,1,2022-10-31,DATA,DATA,0.0,0.0,42048307.46,42048307.46,1796
7552,2022-10-30,1,2022-10-31,VOICE,OFF-NET,0.0,0.0,0.0,5700.0,68
7552,2022-10-30,1,2022-10-31,VOICE,FIX,0.0,0.0,0.0,60.0,1
7552,2022-10-30,1,2022-10-31,SMS,OFF-NET,0.0,0.0,0.0,1.0,1
7552,2022-10-30,1,2022-10-31,VOICE,ON-NET,0.0,0.0,0.0,90.0,3
7552,2022-10-30,1,2022-11-30,VOICE,ON-NET,0.0,0.0,0.0,390.0,4
7552,2022-10-30,1,2022-11-30,VOICE,OFF-NET,0.0,0.0,0.0,3030.0,45
7552,2022-10-30,1,2022-11-30,DATA,DATA,0.0,0.0,20757530.7,20757530.7,1302
7552,2022-10-30,1,2022-12-31,VOICE,ON-NET,0.0,0.0,0.0,960.0,14
7552,2022-10-30,1,2022-12-31,VOICE,OFF-NET,0.0,0.0,0.0,4470.0,62
7552,2022-10-30,1,2022-12-31,DATA,DATA,0.0,0.0,20448039.39,20448039.39,1146
7552,2022-10-30,1,2023-01-31,DATA,DATA,0.0,0.0,20738363.66,20738363.66,974
7552,2022-10-30,1,2023-01-31,VOICE,OFF-NET,29.94,0.0,0.0,2970.0,56
7552,2022-10-30,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,60.0,1
7553,2023-01-29,1,2023-01-31,VOICE,ON-NET,144.71,0.0,0.0,28980.0,128
7553,2023-01-29,1,2023-01-31,SMS,Others,70.0,0.0,0.0,7.0,7
7553,2023-01-29,1,2023-01-31,VOICE,OFF-NET,209.58,0.0,0.0,8610.0,67
7553,2023-01-29,1,2023-01-31,DATA,DATA,0.0,0.0,53575854.29,53575854.29,1193
7556,2023-01-02,1,2023-01-31,DATA,DATA,0.0,0.0,876837.83,876837.83,117
7556,2023-01-02,1,2023-01-31,VOICE,ON-NET,94.81,0.0,0.0,630.0,9
7556,2023-01-02,1,2023-01-31,VOICE,OFF-NET,9.98,0.0,0.0,60.0,2
7556,2023-01-02,1,2023-01-31,VAS,Others,22.0,0.0,0.0,1.0,1
7558,2023-01-02,1,2023-01-31,VOICE,Others,16.0,0.0,0.0,240.0,1
7558,2023-01-02,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,1350.0,3
7558,2023-01-02,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,11010.0,67
7558,2023-01-02,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,10.0,10
7558,2023-01-02,1,2023-01-31,DATA,DATA,0.0,0.0,6088774.62,6088774.62,369
7559,2023-01-28,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,600.0,5
7559,2023-01-28,1,2023-01-31,SMS,OFF-NET,4.99,0.0,0.0,1.0,1
7559,2023-01-28,1,2023-01-31,SMS,ON-NET,4.99,0.0,0.0,1.0,1
7559,2023-01-28,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,10710.0,19
7559,2023-01-28,1,2023-01-31,DATA,DATA,0.0,0.0,1446580.52,1446580.52,128
7560,2022-09-15,1,2022-09-30,VAS,Others,30.0,0.0,0.0,1.0,1
7560,2022-09-15,1,2022-09-30,DATA,DATA,0.0,0.0,7316833.69,7316833.69,625
7560,2022-09-15,1,2022-09-30,VOICE,ON-NET,0.0,0.0,0.0,15330.0,24
7560,2022-09-15,1,2022-09-30,VOICE,OFF-NET,0.0,0.0,0.0,150.0,2
7560,2022-09-15,1,2022-10-31,VOICE,ON-NET,109.78,0.0,0.0,660.0,13
7560,2022-09-15,1,2022-10-31,VOICE,OFF-NET,44.91,0.0,0.0,270.0,6
7560,2022-09-15,1,2022-10-31,DATA,DATA,0.0,0.0,5.89,5.89,41
7560,2022-09-15,1,2022-11-30,VOICE,ON-NET,84.83,0.0,0.0,510.0,14
7560,2022-09-15,1,2022-11-30,DATA,DATA,0.0,0.0,9.97,9.97,3
7560,2022-09-15,1,2022-11-30,VOICE,OFF-NET,89.82,0.0,0.0,540.0,11
7560,2022-09-15,1,2022-12-31,VOICE,OFF-NET,59.88,0.0,0.0,360.0,6
7560,2022-09-15,1,2022-12-31,VOICE,ON-NET,109.78,0.0,0.0,660.0,13
7560,2022-09-15,1,2022-12-31,DATA,DATA,0.0,0.0,0.34,0.34,1
7560,2022-09-15,1,2023-01-31,VOICE,ON-NET,89.82,0.0,0.0,540.0,13
7560,2022-09-15,1,2023-01-31,DATA,DATA,0.0,0.0,3.4,3.4,5
7560,2022-09-15,1,2023-01-31,VOICE,OFF-NET,64.87,0.0,0.0,390.0,8
7562,2022-11-09,1,2022-11-30,VOICE,ON-NET,244.51,0.0,0.0,3570.0,38
7562,2022-11-09,1,2022-11-30,SMS,Others,50.0,0.0,0.0,1.0,1
7562,2022-11-09,1,2022-11-30,DATA,DATA,0.0,0.0,501646.81,501646.81,13
7562,2022-11-09,1,2022-11-30,VOICE,OFF-NET,0.0,0.0,0.0,30.0,1
7562,2022-11-09,1,2022-11-30,VAS,Others,88.0,0.0,0.0,4.0,4
7562,2022-11-09,1,2022-12-31,SMS,Others,50.0,0.0,0.0,3.0,3
7562,2022-11-09,1,2022-12-31,VAS,Others,88.0,0.0,0.0,4.0,4
7562,2022-11-09,1,2022-12-31,VOICE,OFF-NET,39.92,0.0,0.0,240.0,7
7562,2022-11-09,1,2022-12-31,VOICE,ON-NET,229.54,0.0,0.0,1620.0,36
7562,2022-11-09,1,2023-01-31,SMS,Others,50.0,0.0,0.0,1.0,1
7562,2022-11-09,1,2023-01-31,VOICE,Others,0.0,0.0,0.0,0.0,1
7562,2022-11-09,1,2023-01-31,VAS,Others,66.0,0.0,0.0,3.0,3
7562,2022-11-09,1,2023-01-31,VOICE,ON-NET,194.61,0.0,0.0,1530.0,30
7565,2023-01-07,1,2023-01-31,DATA,DATA,0.0,0.0,10618964.77,10618964.77,1277
7565,2023-01-07,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,1530.0,17
7565,2023-01-07,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,2460.0,44
7567,2023-01-28,1,2023-01-31,SMS,Others,0.0,0.0,0.0,8.0,8
7567,2023-01-28,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,14070.0,131
7567,2023-01-28,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,1.0,1
7567,2023-01-28,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,5670.0,90
7567,2023-01-28,1,2023-01-31,DATA,DATA,0.0,0.0,15701736.11,15701736.11,245
7571,2022-11-19,1,2022-11-30,VOICE,ON-NET,169.66,0.0,0.0,2160.0,20
7571,2022-11-19,1,2022-11-30,DATA,DATA,0.0,0.0,4570061.95,4570061.95,160
7571,2022-11-19,1,2022-11-30,VOICE,OFF-NET,104.79,0.0,0.0,2100.0,24
7571,2022-11-19,1,2022-12-31,DATA,DATA,0.0,0.0,13700030.59,13700030.59,173
7571,2022-11-19,1,2022-12-31,VOICE,OFF-NET,0.0,0.0,0.0,1980.0,25
7571,2022-11-19,1,2022-12-31,VOICE,ON-NET,0.0,0.0,0.0,780.0,20
7571,2022-11-19,1,2023-01-31,VOICE,OFF-NET,69.86,0.0,0.0,420.0,7
7571,2022-11-19,1,2023-01-31,VOICE,ON-NET,9.98,0.0,0.0,60.0,2
7573,2022-09-29,1,2022-09-30,DATA,DATA,0.0,0.0,9562782.26,9562782.26,1574
7573,2022-09-29,1,2022-09-30,VOICE,OFF-NET,0.0,0.0,0.0,14370.0,115
7573,2022-09-29,1,2022-09-30,VOICE,ON-NET,0.0,0.0,0.0,1680.0,30
7573,2022-09-29,1,2022-10-31,VOICE,ON-NET,0.0,0.0,0.0,1110.0,14
7573,2022-09-29,1,2022-10-31,DATA,DATA,0.0,0.0,8203555.63,8203555.63,969
7573,2022-09-29,1,2022-10-31,VOICE,OFF-NET,0.0,0.0,0.0,4350.0,62
7573,2022-09-29,1,2022-11-30,DATA,DATA,0.0,0.0,6947.45,6947.45,88
7573,2022-09-29,1,2022-11-30,SMS,OFF-NET,4.99,0.0,0.0,1.0,1
7573,2022-09-29,1,2022-11-30,VOICE,OFF-NET,94.81,0.0,0.0,660.0,12
7573,2022-09-29,1,2022-12-31,VAS,Others,22.0,0.0,0.0,1.0,1
7573,2022-09-29,1,2022-12-31,VOICE,ON-NET,4.99,0.0,0.0,30.0,1
7573,2022-09-29,1,2023-01-31,DATA,DATA,0.0,0.0,3.16,3.16,4
7574,2023-01-19,1,2023-01-31,DATA,DATA,0.0,0.0,42162897.61,42162897.61,1062
7574,2023-01-19,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,19080.0,65
7574,2023-01-19,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,41190.0,217
7575,2023-01-06,1,2023-01-31,VOICE,OFF-NET,0.0,0.0,0.0,21540.0,122
7575,2023-01-06,1,2023-01-31,VOICE,ON-NET,0.0,0.0,0.0,330.0,2
7575,2023-01-06,1,2023-01-31,SMS,OFF-NET,0.0,0.0,0.0,116.0,116
7575,2023-01-06,1,2023-01-31,SMS,ON-NET,0.0,0.0,0.0,7.0,7
7575,2023-01-06,1,2023-01-31,DATA,DATA,0.0,0.0,27397481.86,27397481.86,347
7576,2022-09-13,1,2022-09-30,VOICE,OFF-NET,0.0,0.0,0.0,1290.0,6
7576,2022-09-13,1,2022-09-30,DATA,DATA,0.0,0.0,3145405.62,3145405.62,147
7576,2022-09-13,1,2022-09-30,VOICE,FIX,0.0,0.0,0.0,210.0,3
7576,2022-09-13,1,2022-09-30,SMS,ON-NET,0.0,0.0,0.0,2.0,2
7576,2022-09-13,1,2022-09-30,VOICE,ON-NET,19.96,0.0,0.0,195660.0,375
7576,2022-09-13,1,2022-09-30,VAS,Others,22.0,0.0,0.0,1.0,1
7576,2022-09-13,1,2022-10-31,DATA,DATA,0.0,0.0,36.07,36.07,55
7576,2022-09-13,1,2022-10-31,VAS,Others,22.0,0.0,0.0,1.0,1
7576,2022-09-13,1,2022-10-31,VOICE,ON-NET,194.61,0.0,0.0,1170.0,23
7576,2022-09-13,1,2022-11-30,VOICE,ON-NET,39.92,0.0,0.0,222570.0,485
7576,2022-09-13,1,2022-11-30,VOICE,OFF-NET,0.0,0.0,0.0,6480.0,16
7576,2022-09-13,1,2022-11-30,SMS,ON-NET,0.0,0.0,0.0,3.0,3
7576,2022-09-13,1,2022-11-30,DATA,DATA,0.0,0.0,5895837.18,5895837.18,114
7576,2022-09-13,1,2022-12-31,VOICE,OFF-NET,0.0,0.0,0.0,4800.0,5
7576,2022-09-13,1,2022-12-31,SMS,ON-NET,0.0,0.0,0.0,4.0,4
7576,2022-09-13,1,2022-12-31,DATA,DATA,0.0,0.0,2483508.35,2483508.35,78
7576,2022-09-13,1,2022-12-31,VOICE,ON-NET,59.88,0.0,0.0,200340.0,480
7576,2022-09-13,1,2022-12-31,VOICE,FIX,0.0,0.0,0.0,60.0,1
7576,2022-09-13,1,2023-01-31,VOICE,ON-NET,59.88,0.0,0.0,360.0,11
7576,2022-09-13,1,2023-01-31,VAS,Others,22.0,0.0,0.0,1.0,1
7576,2022-09-13,1,2023-01-31,VOICE,OFF-NET,9.98,0.0,0.0,60.0,1
7576,2022-09-13,1,2023-01-31,DATA,DATA,0.0,0.0,2.4,2.4,2
